iter	Logloss
0	0.6703508496
1	0.6520212889
2	0.6338371634
3	0.5946016312
4	0.5799375772
5	0.5576069355
6	0.5462909937
7	0.5083307028
8	0.5016130805
9	0.495987832510	0.4682587981
11	0.4509105682
12	0.4339602888
13	0.4132781327
14	0.3929556608
15	0.38346982
16	0.3754903674
17	0.372428298
18	0.3515568376
19	19	0.3946930766
20	0.3846989221	0.3194975257
22	0.3191831708
23	0.3028117418
24	0.2920974493
25	0.2854449451
26	0.2808088362
27	0.2703946829
2828	0.2774126828
29	0.27240180930	0.2383184433
31	0.2354391366
32	0.2339393198
33	0.2328379154
34	0.2275688946
35	0.2146265805
36	0.2052348107
37	0.1963974088
38	0.1930918247
39	0.1847412884
40	0.180332616
41	0.1735197008
42	0.1711850017
43	0.1693138778
44	0.1654264927
45	0.1650507152
46	0.1568133682
47	0.1537624896
48	0.1529819667
49	0.1515001953
50	0.1462609172
51	0.144274056
52	0.1397060454
53	0.137721613
54	0.1365731955
55	0.1347939819
56	0.1289549619
57	0.1280639172
58	0.1262744069
59	0.125569582
60	0.1248125136
61	0.1223625094
62	0.1204280555
63	0.1198945716
64	0.1188296378
65	0.1162033081
66	0.1126502752
67	0.109127447
68	0.1052196398
69	0.1021559387
70	0.1004108861
71	0.0965167433
72	0.09537409991
73	0.09444412589
74	0.09349521995
75	0.09225091338
76	0.09125930071
77	0.09033636749
78	0.08791428804
79	0.08514051139
80	0.08378151059
81	0.08242316544
82	0.08088771999
83	0.08032093942
84	0.07952044904
85	0.07697831094
86	0.07494104654
87	0.07269112766
88	0.07186740637
89	0.07100595534
90	0.06896068156
91	0.06726156175
92	0.06711398065
93	0.06549461186
94	0.06532176584
95	0.06495080143
96	0.06438666582
97	0.06336824596
98	0.06249897555
99	0.06108660996
