iter	MultiClass
0	0.6612246517
1	0.4597828079
2	0.3416492952
3	0.2474662739
4	0.2065717969
5	0.1725106892
6	0.1503702205
7	0.1252051144
8	0.1041549746
9	0.09316406143
10	0.08220424955
11	0.07727657554
12	0.07027532549
13	0.06505305838
14	0.0610776126
15	0.05607387657
16	0.05256971508
17	0.04901800361
18	0.04648632182
19	0.04377207317
20	0.04114049993
21	0.03917440591
22	0.03729555229
23	0.03507137033
24	0.03301021624
25	0.03135097054
26	0.03014960618
27	0.02870906971
28	0.02764344156
29	0.02661825837
30	0.02521101386
31	0.02454235471
32	0.02381322413
33	0.02328789473
34	0.02262656031
35	0.02183646467
36	0.02113019611
37	0.02049506812
38	0.01999478398
39	0.01941131206
40	0.01864894093
41	0.01816620439
42	0.01766474869
43	0.01726787008
44	0.01687164685
45	0.0164577181
46	0.01604015774
47	0.0156105491
48	0.01530554475
49	0.01500893584
50	0.01470478133
51	0.01438035538
52	0.01410934134
53	0.01386843367
54	0.01360392019
55	0.01335615944
56	0.01317017133
57	0.01292044019
58	0.01272894932
59	0.01249650127
60	0.01228387615
61	0.01211255738
62	0.01187825869
63	0.01168923259
64	0.01144998831
65	0.01128928304
66	0.0111227779
67	0.01099467168
68	0.010826309
69	0.01061263485
70	0.01047131157
71	0.01033484711
72	0.01018259929
73	0.01004857811
74	0.009904721267
75	0.009804950518
76	0.009684761981
77	0.00955054981
78	0.009400783909
79	0.009250759182
80	0.009124831693
81	0.008994112672
82	0.008870853711
83	0.00877423106
84	0.008633780103
85	0.008521969929
86	0.008413715764
87	0.008282840298
88	0.008193940905
89	0.00805909678
90	0.007953068874
91	0.007858252717
92	0.007763086287
93	0.007658366634
94	0.007595361052
95	0.00748638896
96	0.007403235859
97	0.007310790106
98	0.007234826872
99	0.007169754438
